p.value	estimate	method	df.df	taxonomy	index	qval
0.00223207823151387	1.4479385809528	Welch Two Sample t-test	3.03951386524149	Escherichia coli (strain K12)	590	0.0189499658672084
0.00224884142512595	1.12518517061067	Welch Two Sample t-test	3.06948538178155	Escherichia coli (strain K12)	591	0.0190403981019985
0.00225237772775767	1.17889597221303	Welch Two Sample t-test	2.43526550310434	Escherichia coli (strain K12)	592	0.0190403981019985
0.00225413377410364	-0.568133291186077	Welch Two Sample t-test	3.00917460925599	Homo sapiens	593	0.0190403981019985
0.00226021836862411	1.17532786627551	Welch Two Sample t-test	2.84099519138339	Escherichia coli (strain K12)	594	0.0190596528761585
0.00226675134513241	1.42554924416623	Welch Two Sample t-test	2.73119325045847	Escherichia coli (strain K12)	595	0.019063631232384
0.00226830189948111	0.944508036129043	Welch Two Sample t-test	2.51219727959066	Escherichia coli (strain K12)	596	0.019063631232384
0.00227746513595162	-1.2297198015362	Welch Two Sample t-test	2.86667887713972	Homo sapiens	597	0.0190770420806213
0.00228093860825855	0.971916896390582	Welch Two Sample t-test	3.81195039542347	Escherichia coli (strain K12)	598	0.0190770420806213
0.00228466265289411	1.18711188567751	Welch Two Sample t-test	3.17882354062105	Escherichia coli (strain K12)	599	0.0190770420806213
0.00228792809477322	0.925020693744372	Welch Two Sample t-test	3.21160688002295	Escherichia coli (strain K12)	600	0.0190770420806213
0.0022904639483094	1.10763753704512	Welch Two Sample t-test	2.48173700801743	Escherichia coli (strain K12)	601	0.0190770420806213
0.00229894795381924	1.39961727656429	Welch Two Sample t-test	3.96750088121067	Escherichia coli (strain K12)	602	0.0190770420806213
0.00229995768161833	-0.745968078489178	Welch Two Sample t-test	3.97223008237741	Homo sapiens	603	0.0190770420806213
0.00230036602449496	-0.65715455930141	Welch Two Sample t-test	2.91258260489559	Homo sapiens	604	0.0190770420806213
0.00233132742769629	1.42262486425322	Welch Two Sample t-test	2.11905294167177	Escherichia coli (strain K12)	605	0.0193018497278194
0.002336174062567	-0.812094426536326	Welch Two Sample t-test	3.05423165718763	Homo sapiens	606	0.0193100592069276
0.00234426798780214	1.51113005733121	Welch Two Sample t-test	3.55325898554206	Escherichia coli (strain K12)	607	0.0193288755493457
0.00234877389750453	-0.399588776910715	Welch Two Sample t-test	2.85445049705325	Homo sapiens	608	0.0193288755493457
0.00235002699332232	1.22313414715009	Welch Two Sample t-test	3.68092018924049	Escherichia coli (strain K12)	609	0.0193288755493457
0.00236038944949852	1.25737495132817	Welch Two Sample t-test	2.86029253549872	Escherichia coli (strain K12)	610	0.0193822799221936
0.00237113337768107	1.16878742353244	Welch Two Sample t-test	2.42946576685277	Escherichia coli (strain K12)	611	0.019438636806554
0.00238659875772748	-0.721451234814312	Welch Two Sample t-test	3.78544035572952	Homo sapiens	612	0.0194900329201521
0.00239212214230325	-0.510946974497128	Welch Two Sample t-test	3.28301131219646	Homo sapiens	613	0.0194900329201521
0.00239570823715702	-0.849051947587595	Welch Two Sample t-test	3.57571378597843	Homo sapiens	614	0.0194900329201521
0.00239675844798732	1.37482718500941	Welch Two Sample t-test	3.28350675001551	Escherichia coli (strain K12)	615	0.0194900329201521
0.00240020303818833	1.17664014939441	Welch Two Sample t-test	2.71936005914263	Escherichia coli (strain K12)	616	0.0194900329201521
0.00240074871466038	1.52817978139569	Welch Two Sample t-test	2.26979542245557	Escherichia coli (strain K12)	617	0.0194900329201521
0.00240918333411694	1.58916048797032	Welch Two Sample t-test	3.48826733488645	Escherichia coli (strain K12)	618	0.0195268597420579
0.00241387308998289	1.39147911156137	Welch Two Sample t-test	3.47682157281548	Escherichia coli (strain K12)	619	0.0195332638250796
0.00242892858527925	1.11294486368227	Welch Two Sample t-test	2.64518080526446	Escherichia coli (strain K12)	620	0.0196233923930061
0.00243687294932348	-0.486998713984581	Welch Two Sample t-test	3.87720820323452	Homo sapiens	621	0.0196558721467976
0.00244132744397854	1.22405010166269	Welch Two Sample t-test	3.41410188665639	Escherichia coli (strain K12)	622	0.0196601433551262
0.00245460545758796	-0.673652997440484	Welch Two Sample t-test	3.67368038692536	Homo sapiens	623	0.0197353430771398
0.00246930302606256	-0.707963150297252	Welch Two Sample t-test	2.66940734999604	Homo sapiens	624	0.0198216968870951
0.00247635528667307	0.90176455006957	Welch Two Sample t-test	2.52323449770563	Escherichia coli (strain K12)	625	0.0198436780261273
0.00248166437977321	-0.473587377544826	Welch Two Sample t-test	3.59155411159035	Homo sapiens	626	0.0198436780261273
0.00248392615739306	-0.686018792713479	Welch Two Sample t-test	3.4535413505213	Homo sapiens	627	0.0198436780261273
0.0024928657187388	1.11755419989788	Welch Two Sample t-test	2.53961481591194	Escherichia coli (strain K12)	628	0.0198833827789214
0.0025190462939514	-0.417141514022774	Welch Two Sample t-test	3.76161128034815	Homo sapiens	629	0.0200602589608944
0.00253214598075775	1.08399863619951	Welch Two Sample t-test	2.81071698545766	Escherichia coli (strain K12)	630	0.0201325701866914
0.00253793715129737	1.38487057337885	Welch Two Sample t-test	2.4975074745869	Escherichia coli (strain K12)	631	0.0201415161236592
0.00254131327413707	-0.498350498213654	Welch Two Sample t-test	2.40394745441108	Homo sapiens	632	0.0201415161236592
0.00254749047471025	1.42259919279795	Welch Two Sample t-test	3.99807436709406	Escherichia coli (strain K12)	633	0.0201556459594169
0.00255516429200224	-0.991522107862999	Welch Two Sample t-test	3.79701929392472	Homo sapiens	634	0.0201556459594169
0.00255839537278348	1.34604545964315	Welch Two Sample t-test	3.07714030719375	Escherichia coli (strain K12)	635	0.0201556459594169
0.00256264382377637	1.19490801924326	Welch Two Sample t-test	2.53787235578711	Escherichia coli (strain K12)	636	0.0201556459594169
0.00256321550731654	-0.727463843237723	Welch Two Sample t-test	3.82431891420979	Homo sapiens	637	0.0201556459594169
0.00257178724014308	0.710589835292459	Welch Two Sample t-test	3.94000658099368	Escherichia coli (strain K12)	638	0.0201913515452613
0.00258612480813344	1.14189660285636	Welch Two Sample t-test	2.62367603869285	Escherichia coli (strain K12)	639	0.0202430582919057
0.0025864558408504	1.97894495210845	Welch Two Sample t-test	3.9992697146435	Escherichia coli (strain K12)	640	0.0202430582919057
0.00259156131996589	0.953099988239025	Welch Two Sample t-test	3.19834519903323	Escherichia coli (strain K12)	641	0.0202513738716211
0.00260587840778615	1.14601057095521	Welch Two Sample t-test	2.11478115820665	Escherichia coli (strain K12)	642	0.0203315341816212
0.00263506811269691	-0.664521782903308	Welch Two Sample t-test	3.48149625245998	Homo sapiens	643	0.0204577719290535
0.00263849006566757	1.15605358282209	Welch Two Sample t-test	2.48802699892174	Escherichia coli (strain K12)	644	0.0204577719290535
0.00265065319790397	-0.548073027562924	Welch Two Sample t-test	3.92489475213551	Homo sapiens	645	0.0204577719290535
0.00265530690737544	1.63027086142505	Welch Two Sample t-test	3.78968535106985	Escherichia coli (strain K12)	646	0.0204577719290535
0.00265581590628297	1.06917086866527	Welch Two Sample t-test	2.41866794111099	Escherichia coli (strain K12)	647	0.0204577719290535
0.00265628483004911	-0.557737337246121	Welch Two Sample t-test	3.41435202033931	Homo sapiens	648	0.0204577719290535
0.00265647548979132	-0.937865120737137	Welch Two Sample t-test	3.64917844213304	Homo sapiens	649	0.0204577719290535
0.00265648343391068	-0.683459223695066	Welch Two Sample t-test	3.88473185864841	Homo sapiens	650	0.0204577719290535
0.00265881603629743	-0.936217638637287	Welch Two Sample t-test	2.61213640614687	Homo sapiens	651	0.0204577719290535
0.00266821255058069	0.922522644293918	Welch Two Sample t-test	3.99173334109174	Escherichia coli (strain K12)	652	0.0204578606489726
0.00267211730991368	-1.01227747491668	Welch Two Sample t-test	3.79088739716972	Homo sapiens	653	0.0204578606489726
0.002672980846398	-0.76683072232531	Welch Two Sample t-test	3.53313169241327	Homo sapiens	654	0.0204578606489726
0.0026751644490072	-1.01033197673352	Welch Two Sample t-test	3.98117784862621	Homo sapiens	655	0.0204578606489726
0.00269571422232755	-0.461257866740509	Welch Two Sample t-test	3.01991865790437	Homo sapiens	656	0.0205277547410104
0.00269992600013773	-0.244449572551587	Welch Two Sample t-test	2.80143555257546	Homo sapiens	657	0.0205277547410104
0.00270206693499947	1.39621075362466	Welch Two Sample t-test	2.88978692347161	Escherichia coli (strain K12)	658	0.0205277547410104
0.00270263385053834	1.15331107432158	Welch Two Sample t-test	2.03115338178857	Escherichia coli (strain K12)	659	0.0205277547410104
0.00270878589751383	-0.471361168113067	Welch Two Sample t-test	3.80589218702591	Homo sapiens	660	0.0205277547410104
0.00270889316905727	1.34930421656543	Welch Two Sample t-test	2.22529648704909	Escherichia coli (strain K12)	661	0.0205277547410104
0.00271308490886332	1.08496385211501	Welch Two Sample t-test	2.55101122779561	Escherichia coli (strain K12)	662	0.0205284627016561
0.0027496882058023	-0.62724172275704	Welch Two Sample t-test	3.99317171209454	Homo sapiens	663	0.0207298600777567
0.00275326499559266	1.32143303356027	Welch Two Sample t-test	2.06211370314772	Escherichia coli (strain K12)	664	0.0207298600777567
0.00276169085965048	1.17659816916094	Welch Two Sample t-test	3.07786366599729	Escherichia coli (strain K12)	665	0.0207298600777567
0.0027628153789404	-0.473951403736302	Welch Two Sample t-test	3.44747213969453	Homo sapiens	666	0.0207298600777567
0.00276394100537894	1.34129997414974	Welch Two Sample t-test	2.61840156839278	Escherichia coli (strain K12)	667	0.0207298600777567
0.0027684761875577	-0.894528666433772	Welch Two Sample t-test	3.97516318324755	Homo sapiens	668	0.0207298600777567
0.00277259509164032	1.35943146790389	Welch Two Sample t-test	3.28184992978579	Escherichia coli (strain K12)	669	0.0207298600777567
0.00277281019207366	-0.493478523311991	Welch Two Sample t-test	2.63907106273237	Homo sapiens	670	0.0207298600777567
0.00279021802172003	-0.776555273813605	Welch Two Sample t-test	3.78588458363895	Homo sapiens	671	0.0208144289320095
0.00279243286929734	1.10906409182295	Welch Two Sample t-test	3.85068167562726	Escherichia coli (strain K12)	672	0.0208144289320095
0.00280370987865933	-0.621928958473325	Welch Two Sample t-test	3.98842893293007	Homo sapiens	673	0.0208674335545388
0.00281335718017313	1.10987398768215	Welch Two Sample t-test	3.34379758951649	Escherichia coli (strain K12)	674	0.0209081693108119
0.00283101766515009	1.70876975997016	Welch Two Sample t-test	3.77383566052638	Escherichia coli (strain K12)	675	0.0209784497039097
0.00283246295932817	-0.445687231157836	Welch Two Sample t-test	3.95345724955424	Homo sapiens	676	0.0209784497039097
0.00283537840877358	-0.750143086831277	Welch Two Sample t-test	2.69306119847043	Homo sapiens	677	0.0209784497039097
0.00285426710662427	-1.06782113928285	Welch Two Sample t-test	3.847962541137	Homo sapiens	678	0.0210870559543967
0.0028631404120465	-0.495490787421172	Welch Two Sample t-test	3.89507341395178	Homo sapiens	679	0.0210882547741425
0.00286465832600693	-0.658439608535267	Welch Two Sample t-test	3.47666318424302	Homo sapiens	680	0.0210882547741425
0.0028683815467444	1.29288429195561	Welch Two Sample t-test	2.11133706581906	Escherichia coli (strain K12)	681	0.0210882547741425
0.0028712696657946	0.974838560905338	Welch Two Sample t-test	2.50606357092608	Escherichia coli (strain K12)	682	0.0210882547741425
0.00288103722215686	1.78326855306048	Welch Two Sample t-test	2.35994150913573	Escherichia coli (strain K12)	683	0.0211290123657155
0.00289122444841759	1.32097930149387	Welch Two Sample t-test	2.29008548524783	Escherichia coli (strain K12)	684	0.0211477897161543
0.00289790186034417	1.27853246732119	Welch Two Sample t-test	2.71723994834872	Escherichia coli (strain K12)	685	0.0211477897161543
0.00290234317772532	1.42170591336325	Welch Two Sample t-test	2.09160230452087	Escherichia coli (strain K12)	686	0.0211477897161543
0.00290438507235233	1.4383528503787	Welch Two Sample t-test	2.60583919087396	Escherichia coli (strain K12)	687	0.0211477897161543
0.00290470739163789	1.2617467291539	Welch Two Sample t-test	3.98763549379709	Escherichia coli (strain K12)	688	0.0211477897161543
0.00290954381688416	1.2849076303712	Welch Two Sample t-test	2.65271410169867	Escherichia coli (strain K12)	689	0.0211522568632406
0.00292605344544805	-1.2141290165224	Welch Two Sample t-test	2.15107174438701	Homo sapiens	690	0.0212414517510859
0.00293153226906451	1.37893396122503	Welch Two Sample t-test	2.17273494304654	Escherichia coli (strain K12)	691	0.0212504271139568
0.0029482093337025	-0.711373557301141	Welch Two Sample t-test	3.17714255545192	Homo sapiens	692	0.0212995731573379
0.00295007459996246	1.13467786619924	Welch Two Sample t-test	2.41649787006351	Escherichia coli (strain K12)	693	0.0212995731573379
0.00295106883034388	0.942333603784369	Welch Two Sample t-test	3.44316455844261	Escherichia coli (strain K12)	694	0.0212995731573379
0.00296232443462555	-0.792702210490248	Welch Two Sample t-test	3.21994962460057	Homo sapiens	695	0.021350047615884
0.00296971730998267	1.19667201822589	Welch Two Sample t-test	2.46754728419074	Escherichia coli (strain K12)	696	0.0213649433354442
0.00297949616153849	-0.731704717893409	Welch Two Sample t-test	3.71448015669445	Homo sapiens	697	0.0213649433354442
0.00298060094111016	1.0572450715608	Welch Two Sample t-test	2.93664569619238	Escherichia coli (strain K12)	698	0.0213649433354442
0.00298438514896949	1.04838325125822	Welch Two Sample t-test	3.99986217679188	Escherichia coli (strain K12)	699	0.0213649433354442
0.00298571777496725	2.06576237938482	Welch Two Sample t-test	2.13486780170077	Escherichia coli (strain K12)	700	0.0213649433354442
0.00299131086543411	1.25698278428649	Welch Two Sample t-test	2.93868404492215	Escherichia coli (strain K12)	701	0.021374430991383
0.00300201610603544	-0.682132416266434	Welch Two Sample t-test	3.86236670366664	Homo sapiens	702	0.021402338414014
0.00300376200939346	-1.7698036513964	Welch Two Sample t-test	2.78969850183625	Homo sapiens	703	0.021402338414014
0.00300886337334504	-0.803423176092479	Welch Two Sample t-test	3.53924649136862	Homo sapiens	704	0.0214081811190281
0.00301392769838473	1.13946932290645	Welch Two Sample t-test	3.81394951807197	Escherichia coli (strain K12)	705	0.0214081811190281
0.00301740384708202	1.5304545670397	Welch Two Sample t-test	3.29617021053749	Escherichia coli (strain K12)	706	0.0214081811190281
0.00303299566103417	-0.71904641124035	Welch Two Sample t-test	2.13906156721704	Homo sapiens	707	0.0214883667130412
0.00305465006644422	0.901823711508677	Welch Two Sample t-test	3.9965724242321	Escherichia coli (strain K12)	708	0.0216112177723434
0.00306486139941726	-0.517893030578088	Welch Two Sample t-test	3.30193667181163	Homo sapiens	709	0.021628029872432
0.00306566205019499	-0.915462303331126	Welch Two Sample t-test	3.93641781864031	Homo sapiens	710	0.021628029872432
0.00308598292497524	1.39834448500118	Welch Two Sample t-test	2.22936541242994	Escherichia coli (strain K12)	711	0.0217323227330371
0.00309759961452362	1.43603956306553	Welch Two Sample t-test	2.6538324093926	Escherichia coli (strain K12)	712	0.0217323227330371
0.00309766219662391	1.24066234331545	Welch Two Sample t-test	3.94994809582433	Escherichia coli (strain K12)	713	0.0217323227330371
0.00309779964691326	0.869674927241506	Welch Two Sample t-test	3.48542058040835	Escherichia coli (strain K12)	714	0.0217323227330371
0.00310348655311565	0.866115964484634	Welch Two Sample t-test	2.41400878644218	Escherichia coli (strain K12)	715	0.0217417680343445
0.00313449846596599	1.6078252766638	Welch Two Sample t-test	2.32729397628593	Escherichia coli (strain K12)	716	0.0218522734024678
0.00313456145896883	1.35463050459163	Welch Two Sample t-test	2.3480847510405	Escherichia coli (strain K12)	717	0.0218522734024678
0.00313742242754584	-0.574271202596637	Welch Two Sample t-test	2.56891368459099	Homo sapiens	718	0.0218522734024678
0.00314006323968971	0.914285183356025	Welch Two Sample t-test	3.56808004890951	Escherichia coli (strain K12)	719	0.0218522734024678
0.00314509360893883	-0.820597633901157	Welch Two Sample t-test	3.99833685941254	Homo sapiens	720	0.0218522734024678
0.00314543603976428	1.12056104846835	Welch Two Sample t-test	3.08493742075304	Escherichia coli (strain K12)	721	0.0218522734024678
0.00315415711212926	-0.767415222448656	Welch Two Sample t-test	3.07158911251618	Homo sapiens	722	0.021854286071685
0.0031551097139218	-0.626699493235965	Welch Two Sample t-test	2.38459754382776	Homo sapiens	723	0.021854286071685
0.00315881475661807	-0.502972748731111	Welch Two Sample t-test	3.99396244292558	Homo sapiens	724	0.021854286071685
