Proteins	taxon
Q7Z5Y7;F5H3T3	Homo sapiens
P63151;P63151-2;Q66LE6;E5RIY1;G3V149;Q00005;Q00005-2;Q00005-3;Q00005-4;Q00005-5	Homo sapiens
A5YKK6-2;A5YKK6;F8WA87;A5YKK6-3;A5YKK6-4	Homo sapiens
A0AV96;B7Z8Z7;A0AV96-2;D6R9D6;D6RBS9;Q5T0W7;B3KWU8;B4DZ27;Q9NQ94-5;Q8TBY0;Q9NQ94-6;Q9NQ94-3;C9JGD3;Q9NQ94-2;F8W9F8;Q9NQ94-4;Q9NQ94	Homo sapiens
Q9UHX1-2;Q9UHX1-4;E9PN18;E9PMU7;H0YCP8;Q9UHX1-5;Q9UHX1-6;E9PQ56	Homo sapiens
G3V4W0;B4DY08;G3V4C1;P07910-2;G3V576;B2R603;G3V2Q1;P07910;P07910-4;G3V555;G3V575;G3V5X6;G3V3K6;G3V251;B4DSU6;G3V4M8	Homo sapiens
P09651-2;F8VXY0;F8VSB5;F8VRQ1;F8W6I7;F8W1S7;P09651;P09651-3;F8VZ49;Q32P51;F8VTQ5;H0YH80	Homo sapiens
H3BT71;P38159;H0Y6E7;H3BR27;P38159-3;Q96E39;O75526;Q8N7X1	Homo sapiens
P62995-3;P62995;H7BXF3	Homo sapiens
B4DQI6;B4DUA9;Q13595;Q13595-2	Homo sapiens
O00469;O00469-2;E7ETU9;B3KWS3	Homo sapiens
Q9H6S0;E9PE26;D6RA70	Homo sapiens
P30870	Escherichia coli (strain K12)
O60506-3;O60506-4;O60506-5;O60506;O60506-2;O43390;O43390-2;Q2L7G6;E7ETM7	Homo sapiens
H0YA96;H0Y8G5;H7BXN2;Q14103-4;B4DTC3;Q14103-3;Q14103-2;Q14103;F5H6R6	Homo sapiens
E9PJF5;Q9HCU9;H0YCF7;G5E9I4	Homo sapiens
F5H1L4;E7ENA2;Q9NNW7-2;D3YTF8;F5H2V0;F5H2M2;D3YTF9;Q9NNW7;F6WBI2;Q9NNW7-3;E7EWK1;Q9NNW7-4	Homo sapiens
O95777;F2Z2Y6;C9JIZ0;C9JNV3	Homo sapiens
P30419-2;P30419;B4DXS1;Q5VUC6;F5H594;O60551;Q5VUC7	Homo sapiens
P08236-2;P08236;E9PCV0	Homo sapiens
P39656	Homo sapiens
P23497;C9JBL0;B8ZZD8;F8WFE2;E9PHV6;P23497-5;E9PBK3;P23497-2;P23497-3;E7EUA7;P23497-4	Homo sapiens
P58107;E9PPU0;Q15149-7;Q15149-8;Q15149-9;Q15149-5;Q15149-4;Q15149-6;Q15149-2;Q15149;Q15149-3	Homo sapiens
Q9Y394-2;Q9Y394;F8W9Q4;H0YJ66;H0YJE4;H0YJR8	Homo sapiens
O94830;H0YF17;B3KXB5	Homo sapiens
F5H0L8;Q9Y6Y8-2;Q9Y6Y8	Homo sapiens
G3V1U5;F5H6U7;Q9Y3E0	Homo sapiens
Q86XP3	Homo sapiens
P45880-2;P45880;P45880-1;Q5JSD2;Q5JSD1;A2A3S1	Homo sapiens
E9PP21;P21291;B3KVC9	Homo sapiens
P98179	Homo sapiens
Q96T37	Homo sapiens
P11940;P11940-2;E7EQV3;E7ERJ7;H0YBQ4;H0YAR2;Q9H361;H0YB86;Q4VXU2;B1ANR0;Q13310-2;Q13310;Q13310-3;H0Y5F5	Homo sapiens
Q9Y4C8;H0YIL2	Homo sapiens
H0YA96;H0Y8G5;H7BXN2;Q14103-4;B4DTC3;Q14103-3;Q14103-2;Q14103;D6RAF8;D6RF44;D6RBQ9;O14979-3;O14979-2;O14979	Homo sapiens
Q9NW13;C9JE21	Homo sapiens
P11940;P11940-2;E7EQV3;E7ERJ7;H0YBQ4;H0YAR2;Q9H361;H0YAP2;H3BPI5;H3BNY3	Homo sapiens
Q14011;B4E2X2	Homo sapiens
P09651-2;F8VXY0;F8VSB5;F8VRQ1;F8W6I7;F8W1S7;P09651;P09651-3;F8VZ49;F8VYN5;F8W646	Homo sapiens
F5GYD8;P04062-2;P04062;I3L0Q9	Homo sapiens
P37647	Escherichia coli (strain K12)
P62495;Q96CG1;B7Z7P8	Homo sapiens
F5H886;Q9UDY2-3;Q9UDY2;F5H301;Q9UDY2-4;Q9UDY2-2;Q9UDY2-5;B1AN86;B1AN85	Homo sapiens
Q8N0U8	Homo sapiens
Q6NUQ4;Q6NUQ4-2;H7C085;H7C0H8	Homo sapiens
P0AB43	Escherichia coli (strain K12)
E9PDK5;B4DVE7;P50995	Homo sapiens
P0A9D4	Escherichia coli (strain K12)
Q9BRK5;Q9BRK5-6;Q9BRK5-4;Q9BRK5-3;G3V1E2;H0Y3T6	Homo sapiens
P64423	Escherichia coli (strain K12)
P52948-5;P52948;P52948-6;P52948-2;H7C3P6;H0YCT1	Homo sapiens
P07741;G5E9J2;H3BQF1;H3BQB1	Homo sapiens
F5GYQ4;P00367;B4DGN5;F8WA20;B3KV55	Homo sapiens
P0A8W5	Escherichia coli (strain K12)
Q9NTK5;Q9NTK5-2	Homo sapiens
P43897;C9JT21;F8W6R3;P43897-2;C9JG32;F8VPA7;F5H2T7;F8VS27	Homo sapiens
P0AF67	Escherichia coli (strain K12)
Q9ULK4-4;Q9ULK4-5;Q9ULK4-3;Q9ULK4;Q5JWT2;H7BYY3;F5H4T7;Q9ULK4-2;F5H685	Homo sapiens
B3KMG0;Q53GS7	Homo sapiens
P36929	Escherichia coli (strain K12)
Q13485;Q9BYG6;E7EUB6	Homo sapiens
Q96T37;Q96T37-2;Q96T37-3;Q8NDT2	Homo sapiens
P05455;E9PFH8;E7ERC4;E9PGX9	Homo sapiens
Q14554;Q9BV43	Homo sapiens
Q9Y450-4;Q9Y450;B7Z524;H0YDX7;B7Z1K2	Homo sapiens
P06576;F8VPV9	Homo sapiens
P26373;F5H1S2	Homo sapiens
B4DJV2;O75390;F8W4S1;F8VTT8;H0YH82;F8VZK9;F8VX07;F8VRP1;F8VX68;F8VWQ5;F8VPF9;F8VPA1;F8W1S4;F8W642;F8VRI6	Homo sapiens
O75962-2;O75962-4;O75962;E7EWP2;E7EPJ7;O75962-5	Homo sapiens
Q14119	Homo sapiens
P41214;Q5SY38	Homo sapiens
Q14847;C9J9W2;B4DGQ0;Q14847-2;B4DIC4	Homo sapiens
G5E927;I3L4Y2;I3L0M3	Homo sapiens
H7C0I1;F8WCK7;Q8NBF6-2;B8ZZW5;Q8NBF6	Homo sapiens
P00387-2;P00387;P00387-3;B1AHF3	Homo sapiens
P14868;Q68CR9	Homo sapiens
F8W9H3;E9PH09;Q8NF50-3;Q8NF50-2;Q8NF50;A2A369;A2A370	Homo sapiens
Q96N67-4;Q96N67-3;Q96N67-5;Q96N67-2;Q96N67-6;Q96N67;H0Y7L2	Homo sapiens
P56192;A6NC17;B3KVK7;H0YHV5;H0YIC2	Homo sapiens
P62487	Homo sapiens
Q14997;F8WBH5	Homo sapiens
P40227;B4DPJ8;A6NCD2;Q92526;Q92526-2;B4DX20	Homo sapiens
Q6XZF7;Q5SVK8;B4E0Q3;Q6XZF7-2;A8MU01	Homo sapiens
Q9HDC9;H0Y512	Homo sapiens
H7C455;F2Z2Q0;H7BYH1;P30042;H7C1F6;P30042-2	Homo sapiens
P15047	Escherichia coli (strain K12)
Q8TAF3-4;Q8TAF3-3;Q8TAF3	Homo sapiens
P0A8E7	Escherichia coli (strain K12)
Q96QC0	Homo sapiens
P32121-2;P32121;P32121-3;H0Y688;Q68DZ5	Homo sapiens
B4DJV2;O75390;F8W4S1;H0YH82;F8VZK9;F8VX07;F8VRP1;F8VX68;F8VWQ5;F8VPF9;F8VPA1;F8W1S4;F8VRI6	Homo sapiens
Q9BVI0	Homo sapiens
P61604;B8ZZL8;B8ZZ54	Homo sapiens
Q14914;F5GY50;Q5JVP3	Homo sapiens
G3V1S6;Q10471;F5GYB2;B7Z8V8	Homo sapiens
Q8WVK2;H0YBW5	Homo sapiens
P35658-2;P35658-4;P35658;P35658-3;P35658-5;Q5JUP9;F5H131;H0Y837;B7ZAV2	Homo sapiens
P35908	Homo sapiens
P09651-2;F8VXY0;F8VSB5;F8VRQ1;F8W6I7;F8W1S7;P09651;H0YH80	Homo sapiens
Q96QR8	Homo sapiens
P04632	Homo sapiens
P09651-2;F8VSB5;F8W1S7;Q32P51;H0YH80	Homo sapiens
H7C0X5;Q9H3G5;H7C218	Homo sapiens
Q9BTE6;C9J5N1;Q9BTE6-2;Q9BTE6-3	Homo sapiens
Q8WVB6;Q8WVB6-2;E7EXA6;F8WCC1;H0Y7D3	Homo sapiens
P13639;B4DPU3;B4DK30;Q15029	Homo sapiens
Q9NRG9;Q9NRG9-2;F8VZ44;H3BU82;F8VUB6	Homo sapiens
P52701;F5H769;P52701-2;E7ER38;C9JH55;C9J8Y8;C9J7Y7	Homo sapiens
P0AD12	Escherichia coli (strain K12)
H3BT71;P38159;H0Y6E7;P38159-2;Q96E39	Homo sapiens
P55809;E9PDW2	Homo sapiens
P48960-2;H7BYJ8;P48960-3;P48960	Homo sapiens
Q46920	Escherichia coli (strain K12)
P50336;B4DY76;H0YFP3	Homo sapiens
Q86WJ1-3;Q86WJ1-4;Q86WJ1;B5MDZ7;Q86WJ1-2	Homo sapiens
Q01433-2;H0Y360;Q01433;E9PJF6;H0YCL9	Homo sapiens
O75832;B1AJY7;B1AJY5	Homo sapiens
O14908	Homo sapiens
Q9BRP4-2;Q9BRP4;F5H0C4;B7ZAS9;F5H103;F5H3I1;F5H3E9;H0YGB1;F5H0F7	Homo sapiens
P43246;B4E2Z2;E9PHA6;B4DSB9;E7EU21;E7EQQ1	Homo sapiens
P30260;G3V1C4;B4DL80;G5EA36;I3L328	Homo sapiens
O43175;Q5SZU1;F5H634;F5GYN9	Homo sapiens
Q99714;Q99714-2	Homo sapiens
P0A993	Escherichia coli (strain K12)
P23396;E9PL09;E9PPU1;H0YEU2	Homo sapiens
Q5LJ98;Q5LJA0;Q5LJ99;P10155;P10155-2;H0Y9N5	Homo sapiens
P08240	Homo sapiens
Q9BXF6	Homo sapiens
P42167	Homo sapiens
E7EU96;P68400;Q5U5J2	Homo sapiens
P09661;H0YMA0;H0YLR3	Homo sapiens
Q96EY1-2;Q96EY1	Homo sapiens
P77526	Escherichia coli (strain K12)
Q12955;H0YF76;F8W854;B1AQT2;F5GXK0;F5H4S1;E7EMJ1;H0Y3N0;E9PE32	Homo sapiens
P53597	Homo sapiens
O00625	Homo sapiens
Q6NUM9;G5E9N3;Q6NUM9-2;H7C3J0;H7BZ16;H7BZ81	Homo sapiens
Q2TAK8-2;Q2TAK8	Homo sapiens
Q86UV5;B7ZKS7;Q86UV5-2;Q86UV5-3;Q86UV5-7;Q86UV5-4;H3BLX5	Homo sapiens
Q76FK4-2;Q76FK4-4;A6NJK7;Q76FK4;F8WE42;F5H101;F5GWN9;F5H540;F5H797;F5H692;F5H8B8;F5H7D5;F5H532;F5H0I5	Homo sapiens
E7ETQ4;P49821-2;G3V0I5;P49821;B4DE93;H0YD04;H0YE81	Homo sapiens
P0ABH0	Escherichia coli (strain K12)
Q709C8-4;Q709C8-2;Q709C8-3;Q709C8	Homo sapiens
P67775;P62714;H0YC23;E5RHC1	Homo sapiens
P42641	Escherichia coli (strain K12)
P00390-2;P00390-3;P00390;P00390-5;P00390-4;H0YBD4;E5RI06	Homo sapiens
P29401;E7EPA7;B4E022;E9PFF2;F8W888	Homo sapiens
Q9ULH0-2;Q9ULH0-4;Q9ULH0;Q9ULH0-3;E9PH70	Homo sapiens
P27848	Escherichia coli (strain K12)
P51570;A6NJD0	Homo sapiens
P62266;D6RD47	Homo sapiens
Q4VC44-2;Q4VC44;Q4VC44-3;I3L188;Q4VC44-4;I3L4V9	Homo sapiens
H0Y6W0;O95985-3;O95985-2;O95985;E7EWY2;H7C4B0	Homo sapiens
F8WBS1;Q9H832;Q9H832-2	Homo sapiens
Q9UPN3;H3BPE1;H3BQK9;Q9UPN3-4;F5GZL7;Q9UPN3-3;Q9UPN3-2;F8W8Q1;E9PLY5;E9PNZ4;E9PLY0;E7ES95	Homo sapiens
P18074;E7EVE9;P18074-2;E9PM96;B4E0F6	Homo sapiens
O95639;C9JEV9;O95639-3;O95639-2;B7Z7B0	Homo sapiens
P17844	Homo sapiens
P63244;D6RAC2;D6REE5;D6RHH4;D6RAU2;E9PD14;D6RBD0;D6RFZ9;D6RGK8;D6RHJ5;D6R909;D6RDI0	Homo sapiens
I3L2C7;P57678;I3L4A4;I3L399;I3L4M4	Homo sapiens
P62273;P62273-2	Homo sapiens
P28248	Escherichia coli (strain K12)
Q9NW82;D6RIW8	Homo sapiens
P43034;I3L2U8	Homo sapiens
Q9UNY4;Q9UNY4-2	Homo sapiens
Q00653-4;Q00653	Homo sapiens
Q8NFF5-3;Q8NFF5-2;Q8NFF5;Q5T196;Q8NFF5-4;Q8NFF5-5	Homo sapiens
F8VYX6;F8VW92;P07437;Q5JP53;Q5ST81;E9PBJ4;Q9BVA1;Q13885;P68371;Q13509;A8K854;G3V2A3	Homo sapiens
E5RJ68;O00203	Homo sapiens
P33030	Escherichia coli (strain K12)
Q13472-2;Q13472;H7BZN5	Homo sapiens
Q9UIA9;E7ESC6;E9PEN8;E5RIW1	Homo sapiens
P0A8V6	Escherichia coli (strain K12)
P78346;E9PB02;C9JJX7;Q5VU10	Homo sapiens
Q9UQ80;F8VTY8;H0Y3X3;F8VRZ3;F8VR77;F8W0A3;H0YIN7;F8VZ69	Homo sapiens
Q5TFE4;Q5QPD0	Homo sapiens
P48637;B7Z514	Homo sapiens
Q9Y5K5-2;E9PGR0;Q9Y5K5-4;Q9Y5K5-3;Q9Y5K5;Q5LJA5;Q5LJA9;Q5LJB0;H0Y6Y4;B4DW59;B7Z9U9	Homo sapiens
Q13838;Q13838-2;F8VQ10;H0Y7G4;B4DP52;F8W0J0;H0Y400;O00148	Homo sapiens
P42575;P42575-2;C9JRS0	Homo sapiens
Q92766;Q92766-2;Q92766-3	Homo sapiens
P76539	Escherichia coli (strain K12)
O15027-2;O15027-4;O15027-3;O15027;O15027-5;A4QN19;C9JVR0;H0Y5S1;F6VLX6;Q8N9G1	Homo sapiens
P27448-8;P27448-6;P27448-3;P27448-4;P27448-2;P27448;P27448-7;E9PHX2;H0YIY6;H0YKP9	Homo sapiens
P62277	Homo sapiens
B4DDY8;P49590;E9PG66;C9JV49;B4DQ67;F5HHF0;C9JHI8;D6REN6;P12081;B3KWE1;B4DY73;B4DDD8;B4E1C5;E7ETE2;C9JWK3	Homo sapiens
O43663;G3V3N7	Homo sapiens
P11498;E9PRE7;B4DN00	Homo sapiens
P0ADY7	Escherichia coli (strain K12)
Q6ZRP7	Homo sapiens
O00264;O15173	Homo sapiens
Q7KZF4;E7ESM6;H7C597	Homo sapiens
O94973;O94973-2;O94973-3;C9J1S3;E9PJJ7;E7ESQ4;E9PR62;O95782-2;O95782	Homo sapiens
Q9GZP4-2;Q9GZP4	Homo sapiens
Q14498-2;Q14498;Q14498-3;G3XAC6;E1P5S2;H0Y4X3;Q5QP23;Q5QP21	Homo sapiens
P23396;F2Z2S8;H0YCJ7;E9PL45;H0YF32	Homo sapiens
P11802;F8VYH9;F8VTV8;F8VWX7;F8VZ51;F8VXD2;B4DNF9;F8VZZ0	Homo sapiens
P43243;A8MXP9;D6REM6;B3KM87;P43243-2	Homo sapiens
O00571;O00571-2	Homo sapiens
P0A720	Escherichia coli (strain K12)
Q10713	Homo sapiens
P17844;E7ETL9;Q92841;H3BLZ8;Q59F66;Q92841-1;Q92841-3;Q92841-2	Homo sapiens
P60842;Q14240;Q14240-2;E7EQG2;Q9NZE6	Homo sapiens
F5H2G3;B4DR80;Q9Y6E0-2;E9PCB9;Q9Y6E0;H0Y630;Q8NBY1;Q9P289;B4E0Y9;Q9P289-2;Q9P289-3	Homo sapiens
P76594	Escherichia coli (strain K12)
Q15392;B7Z943	Homo sapiens
G3V117;Q9NPA8;E5RHX8	Homo sapiens
P14735;Q5T5N3	Homo sapiens
B7Z9L0;P50991;F5H5W3	Homo sapiens
P56192;A6NC17;B3KVK7	Homo sapiens
E9PP21;P21291;E9PND2;B3KVC9	Homo sapiens
Q14CX7	Homo sapiens
H3BLV7;E7EPR3;Q16666;Q16666-2;Q16666-3;H3BM18;H3BVE6;Q6K0P9-6;Q6K0P9-5;Q6K0P9-4;Q6K0P9-3;Q6K0P9-2;Q6K0P9	Homo sapiens
P14625;E9PEX3;Q58FF3	Homo sapiens
Q8N1F7;H3BVG0;Q8N1F7-2;H3BVE2	Homo sapiens
P23381-2;P23381;G3V3H8;G3V3Y5;G3V423;G3V5U1;G3V456;G3V277;G3V3P2;G3V227;G3V2Y7	Homo sapiens
H0YEH2;Q14671-2;Q14671;E9PCJ0;Q5T1Z4;Q5T1Z8;F5H3Q8	Homo sapiens
Q06830;Q13162;H7C3T4	Homo sapiens
P32119	Homo sapiens
Q9H7D0;Q9H7D0-2	Homo sapiens
P46109	Homo sapiens
Q9Y6X3;G8JL95;Q9Y6X3-3;Q9Y6X3-2	Homo sapiens
C9J2U4	Homo sapiens
E9PIE4;Q9Y6C9;E9PNT8	Homo sapiens
O95470	Homo sapiens
Q92466;Q92466-5	Homo sapiens
Q03164-2;Q03164;E9PQG7;Q9UMN6	Homo sapiens
Q14160;Q14160-3;Q14160-2;E7EMI2	Homo sapiens
E9PG21;E7EWL7;Q12959-5;Q12959-3;Q12959-6;E7ETS7;Q12959-4;Q12959;Q12959-7;Q12959-2;Q15700-3;B7Z264;E9PIW2;B7Z2T4;E9PN83;Q15700;Q15700-4;Q15700-2;H0YGP1;A8MUT9;C9JWP9;C9JYG3;H7C166;O14909;B4E2H8;Q6ZSU2;E7EQD7;B7Z3U2;G5E939;P78352;E7EQV1;P78352-2;E7EQV0	Homo sapiens
Q6UW68	Homo sapiens
P29084;E5RH41	Homo sapiens
Q9Y3I0	Homo sapiens
Q9Y230	Homo sapiens
I3L295;Q96K24;B4DT74;Q9H3L2;O75352;Q1HDL3	Homo sapiens
P17812;B7Z9C4	Homo sapiens
E9PN51;F8W9K7;E9PPW7;O00217;E9PKH6	Homo sapiens
O75717;C9JW18;F8W7P7	Homo sapiens
P07355;P07355-2;H0YN42;H0YMD0;H0YMU9;H0YM50;A6NMY6;H0YKS4;B3KRQ1;H0YNP5;H0YN28;H0YL33;H0YMM1;H0YNA0;H0YN52;H0YLE2	Homo sapiens
E9PGK1;A6NN80;P08133;B7Z582;E5RK69	Homo sapiens
P08758;E7ENQ5;E9PHT9	Homo sapiens
E7EN32;O00255-3;O00255-2;O00255	Homo sapiens
E9PMI6;P54105;E9PJF4	Homo sapiens
P75728	Escherichia coli (strain K12)
O94925-3;O94925;C9JIJ6;B8ZZA8;B8ZZC5;B7Z509;H7C201	Homo sapiens
E7EWE9;Q8NBT2	Homo sapiens
Q9UJV9;H0Y8L8	Homo sapiens
P0A7K6	Escherichia coli (strain K12)
P54819-2;F8W1A4;P54819;P54819-5;F8VY04;P54819-6	Homo sapiens
Q02447-5;H0Y6K5;Q02447-6;H0Y7L6;Q02447-2;Q02447;Q02447-4;Q02447-3	Homo sapiens
O95453-2;O95453;O95453-3;H3BRK1	Homo sapiens
O95453-2;O95453;O95453-3	Homo sapiens
P04075;H3BQN4;H3BPS8;H3BUH7	Homo sapiens
P62617	Escherichia coli (strain K12)
P05852	Escherichia coli (strain K12)
Q86YP4-2;Q86YP4;B5MC40;C9JMI3;C9JGN4;C9JHD7;C9JJK9;C9JVY3	Homo sapiens
Q9NRF8	Homo sapiens
P0AGF2	Escherichia coli (strain K12)
P14866;B4DPK8	Homo sapiens
Q8NF91-4;E9PEL9;Q8NF91;E7EQI5;E7ENN3;Q8NF91-2;Q8NF91-8;H0Y325;H0Y326	Homo sapiens
P63208;E5RJR5;E7ERH2;F8W8N3;P63208-2	Homo sapiens
P0ACI6	Escherichia coli (strain K12)
Q92830;Q92830-2	Homo sapiens
Q86W92-4;Q86W92-2;Q86W92;F5H6Q7;F5H0E0;F5H495;Q86W92-5;F5H1A9;F5GY63	Homo sapiens
Q9NUQ9;E5RI16	Homo sapiens
O00233;F5H182;G3V1Q6	Homo sapiens
Q12972;Q12972-2;E9PEH7	Homo sapiens
O95302;B7Z6H3;B7Z230	Homo sapiens
A0MZ66-4;A0MZ66;A0MZ66-3;B7Z7Z9;A0MZ66-5;A0MZ66-6;A0MZ66-7	Homo sapiens
F8W9T2;Q6PJT7-5;H9KV94;G3V5R4;Q6PJT7-2;Q6PJT7;H0YJA2;G3V411	Homo sapiens
P07686;H3BS10;P06865;H3BP20;H3BU85;H3BTD4	Homo sapiens
Q6R327;Q6R327-3	Homo sapiens
P55072;F8WBL0;Q8IYT4-2;Q8IYT4	Homo sapiens
P0A7I7	Escherichia coli (strain K12)
H0Y6H0;Q8NB78;Q8NB78-2;F2Z2A7	Homo sapiens
P13804;P13804-2;H0YLU7;H0YL12;H0YKF0	Homo sapiens
F5GX33;Q9UJS0;Q9UJS0-2;B3KR64;O75746	Homo sapiens
O94826;B4DZ87	Homo sapiens
Q9H6R4-4;Q9H6R4;G8JLK7;Q9H6R4-2;Q9H6R4-3	Homo sapiens
O94888;H7BYF4	Homo sapiens
Q6NUQ4;Q6NUQ4-2;F5H3N2;H7C008;H7BZI0	Homo sapiens
Q9UPW5-2;Q9UPW5;Q9UPW5-3	Homo sapiens
O43399;O43399-5;Q5JWU6;O43399-2;O43399-4;O43399-3	Homo sapiens
Q9GZY8-2;Q9GZY8;H7C433;E9PQX8	Homo sapiens
P36405	Homo sapiens
Q13111	Homo sapiens
P48506;D6RGF8	Homo sapiens
Q9H6R4-4;Q9H6R4;G8JLK7;F5H6M7	Homo sapiens
P08574	Homo sapiens
P77293	Escherichia coli (strain K12)
Q05932-3;Q05932-2;Q05932-4;Q05932	Homo sapiens
Q9BUK6-7;Q9BUK6-3;Q9BUK6-2;Q9BUK6;Q9BUK6-5;B4DF47	Homo sapiens
H0Y7R8;C9IYT9;C9JX92;A8MQ02;P55196-2;P55196-6;Q5TIG5;P55196-3;P55196-1;P55196;P55196-5	Homo sapiens
P37325	Escherichia coli (strain K12)
Q32N00;Q32MZ9;Q15054;F5H6U9;E9PRK3	Homo sapiens
P46926;B7Z3X4;D6RAY7;D6RFF8;E7EVU7	Homo sapiens
P31350;C9JXC1;B4E2N4;Q7LG56-2;Q7LG56;H0YAV1	Homo sapiens
Q99567	Homo sapiens
Q01433-2;H0Y360;Q01433;Q01433-3;E9PNG0;Q01433-4;H0YF16	Homo sapiens
Q9NZB2;Q9NZB2-6;Q9NZB2-4;Q9NZB2-2;Q9NZB2-5;H7C0T0	Homo sapiens
Q9Y2S0	Homo sapiens
P62620	Escherichia coli (strain K12)
Q3SXM5-2;Q3SXM5;H3BQI7;H3BT52	Homo sapiens
F8WAJ0;Q9H8H2;Q9H8H2-2;Q9H8H2-4	Homo sapiens
E7EPC9;P23588;E7EX17;F8VX11;F8VYE9;F8VSC7;F8VP89;F8W0K0;F8VRU1	Homo sapiens
P20674;H3BNX8;H3BV69	Homo sapiens
P0AEE3	Escherichia coli (strain K12)
Q92520;C9JP35;C9JMN4	Homo sapiens
O95433;G3V438;H0YJU2;H0YJG6	Homo sapiens
Q9BTE6;C9J5N1;Q9BTE6-2;Q9BTE6-3;H7C1W7;H7C1K1	Homo sapiens
Q16851-2;Q16851;E7EUC7;C9JNZ1;C9JWG0;C9JVG3;C9JQU9;C9JUW1;C9JTZ5	Homo sapiens
Q99733;F5HFY4;A8MZ22;C9J6D1;C9JZI7;A8MXH2;H0YCI4	Homo sapiens
F8W020;F8VXI6;F8VUX1;F8VY35;B3KNT8;F8W0J6;F5H4R6;H0YIV4;P55209;H0YHC3;H0YH88;F8W543;F8W118;B3KV44;F8VV59;B7Z9C2	Homo sapiens
Q7LBC6-2;H0YH24;Q7LBC6	Homo sapiens
Q8N5F7	Homo sapiens
P31943;G8JLB6;E9PCY7;D6RIU0;D6RBM0;D6RFM3;D6RIT2;D6RAM1;E5RGV0;D6R9T0;D6RDU3;D6RJ04;D6RIH9;E5RGH4;H0YAQ2;P55795;P31942-2;P31942;B4DHY1	Homo sapiens
P62701;Q8TD47;C9JEH7;P22090	Homo sapiens
P05549-5;Q5TAV5;P05549;H7C5E5;C1K3N0;P05549-2;C9J6N8	Homo sapiens
Q9ULH0-2;Q9ULH0-4;Q9ULH0;Q9ULH0-5	Homo sapiens
Q9NZM1-6;Q9NZM1;F8W8J4;Q9NZM1-3;C9JCN0;Q9NZM1-5;Q9NZM1-7;Q9NZM1-8;Q9NZM1-4	Homo sapiens
Q5VW30;Q5VW26;O00712;H7BYE8;Q5VW27;Q5VW29;O00712-2;Q5W0Y9;P08651-2;P08651-4;P08651-3;P08651;F8W9H9;P08651-5;F5H0R0;B1AKN5;Q12857;B1AKN8;F8W8W3;B1AKN6;Q12857-2;B1AKN7;Q14938-4;F5H5Z3;F8W8H9;Q14938-5;Q14938-3;Q14938-2;C9JWJ8;Q14938	Homo sapiens
P49247;Q53R32	Homo sapiens
P32662	Escherichia coli (strain K12)
Q8WUM0;A6NGS4;F5H5C2;Q5T8N1;Q5TDI3	Homo sapiens
Q9HBH0-2;Q9HBH0	Homo sapiens
Q9UI30;F5GYQ2	Homo sapiens
P31943;G8JLB6;E9PCY7;D6RIU0;D6RBM0;D6RFM3;D6RIT2;D6RAM1;E5RGV0;D6R9T0;D6RDU3;D6RJ04;D6RIH9;E7EQJ0;E7EN40;D6RDL0;D6RF17;D6R9D3	Homo sapiens
P40227;A6NCD2;Q92526;Q92526-2;B4DX20	Homo sapiens
Q5H776;P76038	Escherichia coli (strain K12)
P11172;B5LY68;P11172-2	Homo sapiens
F5GWT4;Q9H4A3-2;Q9H4A3;Q9H4A3-5;Q9H4A3-6;F5H2M7;F6UYG0;Q9BYP7-3;Q9BYP7-4;Q9BYP7-2;Q9BYP7	Homo sapiens
P39838	Escherichia coli (strain K12)
P52788;P52788-2;H7C2R7	Homo sapiens
F8W1I9;Q6JQN1-2;Q6JQN1;G3XAJ0;F8VZG7;Q6JQN1-4	Homo sapiens
F5H583;E7EVJ5;Q96F07-2;E7EVF4;E7EW33;Q96F07;E7EWA4;H7C229;Q7L576;E7EQ04;H0YN93	Homo sapiens
Q9BZZ5-2;G3V1C3;Q9BZZ5;Q9BZZ5-5;Q9BZZ5-3;B4DDR3;Q9BZZ5-1;H0YER7	Homo sapiens
O00762;E1P5N7;G3XAB7	Homo sapiens
P46087;Q3KQS4;F5GWB7;F5H709	Homo sapiens
O43913;B4DXT8	Homo sapiens
Q9ULG1	Homo sapiens
Q6P4R8-3;Q6P4R8;Q6P4R8-2	Homo sapiens
P78344;D3DQV9;P78344-2;H0Y3P2;E9PCV8	Homo sapiens
Q14151	Homo sapiens
O43414;O43414-3;B4DEX5;H0Y4B0;E9PDK8;O43414-2;C9JA75	Homo sapiens
Q8N201	Homo sapiens
Q96HA7	Homo sapiens
B4DZM8;Q16401;Q4VXH0	Homo sapiens
P30744	Escherichia coli (strain K12)
P0AB52	Escherichia coli (strain K12)
P68767;P28838-2;P28838;H0Y9Q1	Homo sapiens
Q03519;Q5HY71;Q03519-2;B0V2J7;F8VX49;E7EUZ6;E7ENX8	Homo sapiens
Q13423;E9PCX7	Homo sapiens
Q96RP9;Q96RP9-2;C9IZ01;F8WAU4;C9JA25	Homo sapiens
Q08209-3;Q08209-2;Q08209;A8W6Z8;E7ETC2;A1A441	Homo sapiens
P48454-2;P48454;B4DRT5	Homo sapiens
P07195	Homo sapiens
Q8NCW5-2;Q8NCW5	Homo sapiens
Q16773;Q16773-2	Homo sapiens
P63104;E7EX29;B0AZS6;E7EX24;B7Z2E6;H0YB80	Homo sapiens
P39286	Escherichia coli (strain K12)
P51531-2;P51531;F6VDE0;F6QYQ1	Homo sapiens
