Proteins	taxon
Q96KP4;Q96KP4-2	Homo sapiens
Q9H6S0;E9PE26	Homo sapiens
P0AFH8	Escherichia coli (strain K12)
Q9BUF5;B4DP54	Homo sapiens
P54886-2;P54886	Homo sapiens
P0ABJ9	Escherichia coli (strain K12)
O14744;G3V5W5;G3V580;G3V2L6;C9JSX3;G3V2X6;G3V507;G3V2F5	Homo sapiens
Q08211;Q08211-2	Homo sapiens
P45578	Escherichia coli (strain K12)
Q9Y490;Q5TCU6	Homo sapiens
P76558	Escherichia coli (strain K12)
B3KS61;O60725	Homo sapiens
O15111	Homo sapiens
P14923;C9JTX4;C9J826;C9JK18;C9JKY1;F5GWP8	Homo sapiens
P0A705;P0A705-3;P0A705-2	Escherichia coli (strain K12)
P66817	Escherichia coli (strain K12)
P68739	Escherichia coli (strain K12)
P09372	Escherichia coli (strain K12)
Q6KC79-2;Q6KC79;Q6KC79-3	Homo sapiens
Q8NE71;Q8NE71-2;H0YGW7;F8VQZ0;E9PC67;Q5STZ8	Homo sapiens
P0ADA1	Escherichia coli (strain K12)
P00370	Escherichia coli (strain K12)
Q9Y4Y9;B8ZZF8	Homo sapiens
P42765	Homo sapiens
P68066	Escherichia coli (strain K12)
P25787	Homo sapiens
P76402	Escherichia coli (strain K12)
Q8WXI9	Homo sapiens
P09980	Escherichia coli (strain K12)
P17115	Escherichia coli (strain K12)
P0A8Q0	Escherichia coli (strain K12)
P39880-3;P39880;P39880-5;P39880-2;P39880-4;P39880-6	Homo sapiens
Q8NEZ5;H3BTR7	Homo sapiens
Q9BV44;H7C0R6	Homo sapiens
Q8IY81	Homo sapiens
Q9UPQ0-4;D6RD46;E9PHM7;Q9UPQ0-2;Q9UPQ0	Homo sapiens
E9PL22;F5H4Z5;Q9Y4L1;F5H4X7	Homo sapiens
Q9H9F9	Homo sapiens
P39880-3;G3V1Z6;Q13948-2;Q13948	Homo sapiens
Q8NBY1;Q9P289;B4E0Y9;Q9P289-2;Q9P289-3;C9JDH9;C9J6L2;C9JCC0;C9J232;H7C279;B7Z9K1;F5H0B2;A8K6Z3;O00506;C9JJV0	Homo sapiens
P50750;P50750-2	Homo sapiens
P05549-5;Q5TAV5;P05549;Q92481;Q92481-2;Q6VUC0	Homo sapiens
P0A8A4	Escherichia coli (strain K12)
Q9UBP6;H0YIH0	Homo sapiens
P69797	Escherichia coli (strain K12)
O95336	Homo sapiens
P21513	Escherichia coli (strain K12)
Q9UKV3-5;E7EQT4;Q9UKV3;G3V3B0;Q9UKV3-3;Q9UKV3-2	Homo sapiens
P0AEE5	Escherichia coli (strain K12)
Q96TA1-2;Q96TA1;F5H3T0	Homo sapiens
P37637	Escherichia coli (strain K12)
P21889	Escherichia coli (strain K12)
Q15599-2;D3DU85;Q15599	Homo sapiens
Q15181;Q5SQT6	Homo sapiens
Q15233;F5GYZ3	Homo sapiens
O15305;B7Z6R0;H3BRM0;H3BR08;H3BM92;H3BV34;H3BT06;H3BNY9	Homo sapiens
P35658-2;P35658-4;P35658;P35658-3;P35658-5;Q5JUP9	Homo sapiens
Q6SPF0	Homo sapiens
Q15120;Q15120-2	Homo sapiens
P49327	Homo sapiens
F5H148;H3BMT1;Q9NYV6;Q3MHU9;A6NIE6	Homo sapiens
Q92610;H0YM74	Homo sapiens
Q04446	Homo sapiens
O75691	Homo sapiens
Q9H334-2;F5GYL1;G5E965;H0Y882;Q9H334-3;Q8NAN6;C9J0F0;Q9H334-4;G5E9V8;Q9H334;E9PFD3;E7ETP1	Homo sapiens
P42575;E9PDN0;C9JRR9	Homo sapiens
Q92979	Homo sapiens
P0ABB4	Escherichia coli (strain K12)
E5RGS4;O60925;D6RGG5	Homo sapiens
E9PJ04;H0YCG1	Homo sapiens
E9PC74;Q13144;C9JRD9	Homo sapiens
B4DZM8;Q16401;F2Z3J2	Homo sapiens
P11586;G3V2B8;F5H2F4	Homo sapiens
P08651-2;P08651-4;P08651-3;P08651;F8W9H9;P08651-5	Homo sapiens
P00956	Escherichia coli (strain K12)
P0ABS1	Escherichia coli (strain K12)
P06999	Escherichia coli (strain K12)
P22106	Escherichia coli (strain K12)
Q5T4S7-3;Q5T4S7-4;Q5T4S7;Q5T4S7-2	Homo sapiens
P62826;B5MDF5	Homo sapiens
P0A8R7	Escherichia coli (strain K12)
Q5JTH9;Q5JTH9-2;E9PCK7	Homo sapiens
Q15075;H0YG06	Homo sapiens
Q13952-5;Q13952;Q5T6K7;E9PI99;Q13952-6;Q5T6K5;F8VWM3;Q13952-2;Q13952-3;E9PIG7;E9PL11	Homo sapiens
P0A9I3	Escherichia coli (strain K12)
Q9NZL4;C9JNI7;Q9NZL4-2	Homo sapiens
Q6PI98;Q6PI98-3;E9PCS7	Homo sapiens
P78563;F5H398;P78563-2;P78563-3;P78563-4;G5E9B4	Homo sapiens
O14497;O14497-2	Homo sapiens
E5RIH5;Q6NXR4;E5RIZ0;E5RH83	Homo sapiens
Q9NR56-3;Q9NR56-4;Q9NR56-6;Q9NR56-2;Q9NR56-5;H7C4T5	Homo sapiens
C9JP00;Q9NR56;Q86VM6	Homo sapiens
P0AE08	Escherichia coli (strain K12)
Q9HCN4;F8WD09	Homo sapiens
Q13263;Q13263-2	Homo sapiens
P13029	Escherichia coli (strain K12)
O15020-2;O15020;A4QPE4	Homo sapiens
P14550;Q5T621	Homo sapiens
P37330	Escherichia coli (strain K12)
P00350	Escherichia coli (strain K12)
Q6P452;P09525	Homo sapiens
Q8TEQ6	Homo sapiens
E7EPC9;P23588;E7EX17;B4DS13;F8VX11	Homo sapiens
P63389	Escherichia coli (strain K12)
P52948-5;P52948;P52948-2	Homo sapiens
Q9Y5B9;F5H063	Homo sapiens
Q02880-2;Q02880;E9PCY5	Homo sapiens
Q5VW36	Homo sapiens
O15160;O15160-2;E7EQB9;H0Y723	Homo sapiens
