protein	taxon	PD7511.GDTHP1.A_C2	PD7512.GDTHP1.A_C1	PD7513.GDTHP1.A_C2	PD7508.GDTHP1.A_C1	PD7509.GDTHP1.A_C2	PD7510.GDTHP1.A_C1
Q9Y490	NA	15.6109288844436	16.7172326494833	17.2422893724434	15.2953593437764	16.6147128569267	16.7607639907476
P29350	NA	16.7442247816867	16.8099701102892	16.4964417739402	16.7475978915384	16.9001840703741	16.5926993678822
P20618	NA	16.7361204023547	16.9815530974957	17.4516733326773	16.8813394938537	16.8956392864837	16.9078808287477
P33993	NA	15.7401043903087	15.9841971685386	15.5424711655862	16.7438491288399	15.7521108591699	15.8421211612454
P53396	NA	16.3599237936342	16.2353377253141	16.5889496502129	14.7756514305704	16.7637289700209	16.166651620034
P78527	NA	15.0824329552779	16.0692334862805	16.2827282869159	15.9899320012363	16.4601165133178	16.4290878541017
K7EJT5, K7EKS7, K7ELC4, K7EMH1, K7EP65, K7ERI7, P35268	NA	18.2635770212498	18.2433807362222	18.3669629506466	18.5985921805831	18.4363249722834	18.144105594769
P10253	NA	16.2365761791403	16.3220323464037	16.2712662986828	16.4897142341721	16.6810899541175	16.3966956891867
P06733	NA	20.5208745283258	20.3079050069599	20.1047714207188	19.1602442506358	19.5819655767418	20.0729166053268
O75083	NA	15.0861367272147	14.470147440817	14.7474076969342	16.9359446657324	15.9829828950536	14.9407418986578
P10253	NA	15.6060670949526	15.9254855583223	15.8704205365038	15.4432033466476	16.0979299698685	15.5285280777278
P00558	NA	19.6305696302121	19.2268793321793	19.3230038923288	19.7069342414433	20.3371558571452	19.9494632858359
P55072	NA	16.7566238079226	16.6371747695158	16.8226796838987	16.7819660973861	16.8202610257934	16.4601827631609
Q9Y490	NA	16.3470922662739	17.0501590207868	16.6592679213245	16.7211270242465	16.6158309181993	16.8982061276526
P07954	NA	16.3271947434936	16.8479614515114	17.1198810346328	17.2727019607826	16.9286383315011	16.4862325248237
B4E3S0, Q9ULV4	NA	17.3101256914507	17.0630829188488	17.2292691324686	15.948385435908	17.5315912218621	17.5348114088441
P28066	NA	14.0395909521326	14.9158104914562	14.3672907371723	15.196984106853	15.0886224822244	15.5105511445763
Q02878	NA	18.5133220152146	18.7879748457406	18.8083178610681	19.3033747506066	18.8563058158276	18.9016510097878
P07814	NA	14.3328271616439	14.7309668275539	15.329714423223	15.186316525328	15.1132114049288	14.9747325347449
C9JNW5, C9JXB8, P83731	NA	18.5881799392144	18.9063779514985	18.7319542830846	18.7109982570063	18.7505167007724	18.8573580390055
Q15365	NA	18.0432126276497	17.8497506138246	18.3306704225783	17.5173994564773	17.9822120703868	18.3310480029922
A0A1C7CYX9, Q16555	NA	17.3053751815319	17.3993219673106	17.6890219220362	17.3978664300276	17.5235340297736	17.3736684905533
P21964	NA	18.1783056778294	18.0477525224716	17.5223673707889	18.3790099511529	18.3189457327778	18.0334664475152
P26641	NA	16.5911678054884	17.5800473456522	16.2010406004121	18.3703939938196	18.351736485419	18.3391458906236
P31948	NA	16.4112657063181	15.8301931837752	16.1484507392459	16.8976893379898	16.865075751688	16.4500759943616
P11021	NA	18.5301100751841	18.5662635067873	17.9092270377715	15.0492138872647	16.8181294356106	18.6186978820662
P00558	NA	17.5402265003601	17.0312444276401	17.4803650664166	13.9843845626328	16.1343404175332	17.5462850152102
A6QRI9, B8A6G2, P27635, X1WI28	NA	15.0500723812745	14.5295442251409	16.1007874606424	10.28510873996	15.1029940930387	15.1728408965465
Q9NRX4	NA	15.893986665059	16.2707771060979	15.5885127542478	16.3419859575588	16.0568093113675	16.0817584398096
P16401	NA	18.683623896527	18.9530993472726	18.4650155906287	18.8230105917601	19.4539384679361	18.8544716993893
P16401	NA	17.7711673795244	16.8108506396083	17.8372781324866	17.4851835302881	18.4076777000226	19.4055541487402
P38606	NA	16.1075222350263	16.40940713439	15.7706841206846	15.5383690242039	16.2297558807485	15.5749029991934
P26447	NA	21.000569579201	21.2550255326747	19.9364128181929	21.2270439481075	19.7707686088152	21.0296078337297
Q9Y490	NA	15.8997716828722	15.814232040196	15.8010231115164	15.6914068163522	15.9420511371359	15.6720838812879
P35579	NA	14.1165040563772	14.654046718874	15.2221142171756	14.2066280950853	14.9297810344968	16.8628209845359
A0A087WVQ6, Q00610	NA	16.3612518485811	17.4918427594246	16.8594702054918	17.2355085074893	17.045060690402	16.1467453643062
P35579	NA	16.2837804481444	16.5929256376708	16.6764944007566	17.9713482637673	17.0795598407596	16.1698096331092
P26038	NA	18.5403578798585	18.3365177961553	17.8747112599067	17.4945482356657	18.5485155882373	18.9229707052617
P26038	NA	16.7080601978106	16.9787095300822	16.2957789455266	14.812519390922	17.4373662820942	17.2298384641208
Q9Y617	NA	16.2053785942765	16.453294587457	16.1338009067255	17.3200454713539	16.8388382259452	16.8239214159173
P00558	NA	21.056410650772	21.1103429158612	21.0790334651791	21.3856356135611	21.2413924069498	20.8820088655505
Q9Y490	NA	15.9330135022702	15.8229889686856	15.5919098430449	15.9751275407287	15.9006920925604	15.544780402472
P26641	NA	17.9549041503099	17.8331237391024	17.8143400521672	18.5693563713615	17.9924658568003	18.0277672128191
P50991	NA	16.8790469764347	16.9694132883417	16.9895229916178	17.2794643333051	17.7667218541811	17.0783763125318
P00558	NA	19.7834133357477	19.7433884203242	19.6567401609222	19.7839386623489	19.4813103618051	19.4644677373427
P22314	NA	17.1427783008447	16.7394250937777	16.8790701632075	15.9148439610804	16.7182252204465	17.464259313138
F5GX11, P25786	NA	16.082834968833	15.8317523145293	16.015409858509	15.4536471331637	16.0636760353541	16.4399272910763
Q9BSJ8	NA	16.1765400377365	16.1590881810218	16.5236668715263	16.1206903238125	16.5965475534278	16.7584572865341
P26038	NA	17.8604239126392	18.0329959716255	18.1441141540536	18.6951524458586	18.3073034288204	18.0057931024237
