	Organism	hpd_2.5	hpd_97.5	mc_error	mean	n_peptides	sd
G3XAN0, P60866		-0.4466679863750177	-0.06256485872815887	0.0010632196755288837	-0.25155384549431414	2.0	0.09904752471850357
G5E972, H0YJH7, P42167		-0.07257890820372248	0.13741449548757667	0.0005805721957804941	0.035950833888793006	2.0	0.05371759411330683
H0Y2Y8, H7C3D3, Q15942		-0.25242265030734234	0.0031482042250132736	0.0006342642318580699	-0.12419683219969031	2.0	0.06541950483022754
H0Y653, H0YDU4, O00567		-0.23616374518544103	0.0029347752722268527	0.000601838709138395	-0.1127917663100812	2.0	0.06112867238117866
H0Y8X4, O43598		-0.2504841470377972	-0.06704694530352051	0.00044001301490520967	-0.15959019943332478	2.0	0.04674045238620982
H0YDS9, P49321, Q5T624		-0.4545904981475166	-0.18424953789733411	0.0007638498289592781	-0.3223434056614401	2.0	0.06920309898821679
H0YN26, P39687		-0.4997944559030738	-0.0560761622001843	0.0010146495479394348	-0.2693864567664643	2.0	0.11312557929774354
H7C068, P48047		-0.3447259881696454	-0.14702850738349782	0.0004782953657387778	-0.24157616289846331	2.0	0.05038321718449359
H7C0C1, P48047		-0.2557318838774032	0.1526881126772286	0.0010704911579924611	-0.05197500616634187	2.0	0.10437794165042484
H7C3T4, Q13162		-0.2356438893920294	-0.010487470249659125	0.0005914802642418414	-0.12330107190041144	2.0	0.05783578267273602
I3L312, I3L3P5, P07237		-0.2698135833284111	-0.0070357494216836125	0.0006691332077230639	-0.13494220064540952	2.0	0.06789842787078826
I3L3D5, P07737		-0.2534855490067385	0.2959363629708393	0.0013920911562876693	0.003029561901208773	2.0	0.13513277912426505
J3KMX5, P62277		-0.5627924746019729	-0.22860898591449974	0.0008399789702059259	-0.39146403795285134	2.0	0.08564559391434075
J3KTE4, J3QR09, P84098		-0.09338089955293372	0.16520307885863406	0.0006679544976844987	0.03265481610868083	2.0	0.06545712832056975
J3KTL2, Q07955		-0.09301288407200081	0.0505886262117321	0.00038855355962337957	-0.022812832118257385	2.0	0.0367602911792527
J3QLE5, P14678, P63162		-0.1266591908987782	0.043255423951344296	0.00045192484595154116	-0.04302059950525167	2.0	0.043315516019676946
K7EJT5, K7EKS7, K7ELC4, K7EMH1, K7EP65, K7ERI7, P35268		-0.2009041621724389	-0.0584130858359615	0.00032715081692067055	-0.1297699470889462	2.0	0.036141094101313574
K7ELL7, P14314		-0.030178978139048462	0.15781412829209374	0.00046203285333835085	0.0674113462703129	2.0	0.04785617302555676
K7ELW0, Q99497		-0.5052752160895108	-0.04466546668373217	0.0011916534305751888	-0.27690011721965135	2.0	0.11930616418805533
K7EN27, Q99497		-0.19170037214347224	0.1221217060796258	0.0008459987214464185	-0.0353999441615393	2.0	0.07933275064836068
M0QXL5, M0R0P1, M0R1H0, M0R299, M0R2B0, M0R2Q4, M0R2U2, P22087		-0.5483648417068558	0.580450266614973	0.003011593485154793	0.03125894065196449	2.0	0.280161791287615
M0QZC5, P62280		0.05702841371433931	0.36339411716211334	0.0008543387627083885	0.20309774139248263	2.0	0.07861278441566415
M0R0Y2, M0R2M1, P54920		-0.24110828591107425	-0.03633980009619964	0.0005041919377672311	-0.13816670402105896	2.0	0.05248941001734773
M0R1L2, O95336		-0.2290411027785062	-0.014477544429019273	0.00047826985642743366	-0.12443255875991142	2.0	0.054743114747071685
M0R261, O95336		-0.3662984345968898	-0.1865116395408397	0.0004568702779092145	-0.2769249159041573	2.0	0.045873269123500975
O15143		0.03104960409153512	0.3925988923913062	0.0009370387985275607	0.2061931119915913	2.0	0.09263902167211348
O43776		-0.30655715148184526	-0.0881693626590474	0.0005665733610294111	-0.1922883194927599	2.0	0.056312241188485754
O60493		-0.3075206863498172	-0.10602773997476134	0.000563895470261142	-0.20690151210795316	2.0	0.05199429344177419
O60763		-0.5436391273530456	-0.20157573629421544	0.0008795436043542035	-0.3626152220252146	2.0	0.08738395031276223
O75348		-0.1151484563014169	0.07766642372202726	0.0004901961634827992	-0.020292883580512365	2.0	0.04939998274669411
O75475		-0.802729304879271	-0.4260327073604746	0.001063965585504353	-0.6085508054219981	2.0	0.09648696494033708
P00387		-0.38199269585517204	0.07658362736885516	0.0011432075242795163	-0.1491732969319131	2.0	0.11644575144867449
P00403		-0.17820266176388144	0.028200779853627234	0.0004814029550888421	-0.0713230766373571	2.0	0.0529384365860187
P00491		-0.5250444271295935	-0.20194332615102617	0.0008742120313348856	-0.3595519763122418	2.0	0.08266544252859291
P04908, Q7L7L0, Q93077		0.16030741179308172	0.762709038171125	0.0015572497423650274	0.44713618211195744	2.0	0.15814593940373847
P05091		-0.02199225843726671	0.15450686926980794	0.0004601287894086377	0.06247646010679518	2.0	0.04514806626665468
P05141		-0.054263183731646736	0.24628056006104682	0.0008788113818446999	0.09386119302111486	2.0	0.07644549222001643
P05204		-0.38786812744010657	0.8050182200354782	0.002992455437370231	0.14253921234378322	2.0	0.29674013721714726
P05387		-0.1051494498119333	0.2867389402936814	0.0010694736489491807	0.09306527629721377	2.0	0.09885733894461368
P05455		0.12987336886791412	0.3199999952379482	0.0005174219549488332	0.22217901734217566	2.0	0.048526427107797705
P07437, Q5JP53		-0.2368061967484565	-0.08368912150853314	0.00042676536360697207	-0.1564251721336159	2.0	0.03965923836747609
P07919		-0.19335089799594785	0.09099067136507355	0.000645008147991583	-0.047766642304589706	2.0	0.07280896212389878
P10153		-0.5187887497503108	-0.2744987508352934	0.0006155479514423797	-0.39277324822593684	2.0	0.06258898415450852
P10606		-0.03788776475620215	0.16333659243190324	0.0004915156722381193	0.06574396172613793	2.0	0.05145631429339454
P11387		-0.27185886417478167	-0.07600417695203632	0.0004980665533258515	-0.17648659227122604	2.0	0.050620294402372826
P20618		-0.02293682539388331	0.14605726117882867	0.00042867346055410003	0.057636643554214495	2.0	0.04305208311646174
P21964		-0.18180668214224116	0.12744085918311465	0.0007207797766075199	-0.024283133056033357	2.0	0.07849577539804954
P22392, Q32Q12		-0.13002747598492315	0.19981925256902633	0.0008043353887855591	0.04021482944801619	2.0	0.08276275304274291
P24534		-0.7064791745596534	-0.21464824115598913	0.0012753652419444802	-0.4551426849255068	2.0	0.12608410877922543
P24752		-0.19725782158086091	-0.018550770965742647	0.0004835705029837877	-0.11098011520829143	2.0	0.04605894013014022
P26583		-0.27483212558753345	-0.020170982686634087	0.0006503101979109568	-0.14853469251638513	2.0	0.06487448950468461
P26639		-0.44095393287565265	-0.123966358529769	0.0006959517531282408	-0.2821957524690769	2.0	0.08154642243796739
P28072		-0.34112745399048094	-0.12499526174246767	0.0005323525208988221	-0.234970602393281	2.0	0.05590261559950098
